Network Type,Network ID,st,rb,rp,tb,tp,op
MOBILE,unknown,212,5,1534,20,"0
"
MOBILE,unknown,65836,179,35326,197,"0
"
MOBILE,unknown,11023,35,7359,43,"0
"
MOBILE,unknown,38720,93,14731,114,"0
"
MOBILE,unknown,13529,30,3834,39,"0
"
MOBILE,unknown,17730,34,5389,45,"0
"
MOBILE,unknown,35021,93,17066,99,"0
"
MOBILE,unknown,352179,448,95865,463,"0
"
MOBILE,unknown,61202,104,20609,110,"0
"
MOBILE,unknown,5941,12,1901,15,"0
"
MOBILE,unknown,5901,11,1825,14,"0
"
MOBILE,unknown,16422,42,8340,50,"0
"
MOBILE,unknown,10335,28,4492,32,"0
"
MOBILE,unknown,17056,54,9715,66,"0
"
MOBILE,unknown,20020,50,18686,61,"0
"
MOBILE,unknown,496533,733,131912,684,"0
"
MOBILE,unknown,52,1,156,3,"0
"
MOBILE,unknown,19845,38,11665,53,"0
"
MOBILE,unknown,6613715,5301,93664,1009,"0
"
MOBILE,unknown,27052,48,10731,55,"0
"
MOBILE,unknown,37603,66,14069,75,"0
"
MOBILE,unknown,7247084,6128,275954,1974,"0
"
MOBILE,unknown,45162,87,17978,106,"0
"
MOBILE,unknown,41815,76,16605,88,"0
"
MOBILE,unknown,52,1,52,1,"0
"
MOBILE,unknown,5941,12,1953,16,"0
"
MOBILE,unknown,86291,160,28736,199,"0
"
MOBILE,unknown,267243,486,126806,556,"0
"
MOBILE,unknown,41929,77,18850,87,"0
"
MOBILE,unknown,49946,110,33467,121,"0
"
MOBILE,unknown,11655,22,3002,25,"0
"
MOBILE,unknown,52376,98,17794,108,"0
"
MOBILE,unknown,133938,119,13884,115,"0
"
MOBILE,unknown,35520,67,13929,75,"0
"
MOBILE,unknown,12881,30,4715,37,"0
"
MOBILE,unknown,40311,78,15332,89,"0
"
MOBILE,unknown,20618,51,9992,55,"0
"
MOBILE,unknown,812,3,1022,5,"0
"
MOBILE,unknown,9873028,7843,144346,1643,"0
"
MOBILE,unknown,30924,74,33284,117,"0
"
MOBILE,unknown,80668,141,32623,149,"0
"
MOBILE,unknown,51975,101,18527,122,"0
"
MOBILE,unknown,190603,158,18533,164,"0
"
MOBILE,unknown,125149,214,34444,223,"0
"
MOBILE,unknown,211806,373,69997,383,"0
"
MOBILE,unknown,43874,89,12681,108,"0
"
MOBILE,unknown,25189,52,7718,58,"0
"
MOBILE,unknown,379517,390,49866,375,"0
"
MOBILE,unknown,84619,151,41380,176,"0
"
MOBILE,unknown,6078,10,1721,12,"0
"
MOBILE,unknown,9184,28,5187,34,"0
"
MOBILE,unknown,7508,13,2366,14,"0
"
MOBILE,unknown,18616,31,7381,44,"0
"
MOBILE,unknown,95307,121,16493,117,"0
"
MOBILE,unknown,64860,103,22662,115,"0
"
MOBILE,unknown,5706,9,1363,10,"0
"
MOBILE,unknown,6289,14,1913,15,"0
"
MOBILE,unknown,0,0,60,1,"0
"
MOBILE,unknown,374,1,358,2,"0
"
MOBILE,unknown,36623418,29989,696798,6207,"0
"
MOBILE,unknown,218249,205,31671,219,"0
"
MOBILE,unknown,6081,10,1721,12,"0
"
MOBILE,unknown,7339,19,2827,20,"0
"
MOBILE,unknown,506719,642,119373,633,"0
"
MOBILE,unknown,21168,39,12978,39,"0
"
MOBILE,unknown,4588066,4135,193530,1242,"0
"
MOBILE,unknown,6082,10,1721,12,"0
"
MOBILE,unknown,15608,33,7672,36,"0
"
MOBILE,unknown,21869,43,10864,51,"0
"
MOBILE,unknown,258058,359,52392,297,"0
"
MOBILE,unknown,214275,384,75315,354,"0
"
MOBILE,unknown,155867,210,36366,221,"0
"
MOBILE,unknown,264870,196,11877,173,"0
"
MOBILE,unknown,0,0,720,12,"0
"
MOBILE,unknown,6282,36,35394,101,"0
"
MOBILE,unknown,6254,13,2065,18,"0
"
MOBILE,unknown,10226509,8619,291561,2237,"0
"
MOBILE,unknown,112,2,681,3,"0
"
MOBILE,unknown,161164,276,54301,278,"0
"
MOBILE,unknown,90822,167,31878,178,"0
"
MOBILE,unknown,232360,383,79592,349,"0
"
MOBILE,unknown,32829900,26725,601011,5773,"0
"
MOBILE,unknown,47041,82,19751,93,"0
"
MOBILE,unknown,14324,25,4275,31,"0
"
MOBILE,unknown,14580,28,5035,31,"0
"
MOBILE,unknown,18760,25,6270,26,"0
"
MOBILE,unknown,11143,17,2662,20,"0
"
MOBILE,unknown,193382,433,132333,488,"0
"
MOBILE,unknown,59824,126,32365,132,"0
"
MOBILE,unknown,416744,454,88762,439,"0
"
MOBILE,unknown,52914,101,18812,110,"0
"
MOBILE,unknown,8435,20,4458,21,"0
"
MOBILE,unknown,28802,43,20414,70,"0
"
MOBILE,unknown,6082,10,1721,12,"0
"
MOBILE,unknown,4786,18,7017,19,"0
"
MOBILE,unknown,30447,53,12759,60,"0
"
MOBILE,unknown,11219729,8838,112799,1588,"0
"
MOBILE,unknown,6081,10,1721,12,"0
"
MOBILE,unknown,5708,9,1363,10,"0
"
MOBILE,unknown,151696,218,32320,208,"0
"
MOBILE,unknown,11466643,9341,359134,3741,"0
"
MOBILE,unknown,33155,47,9996,50,"0
"
MOBILE,unknown,11402993,9152,168336,1616,"0
"
MOBILE,unknown,8464,18,4133,19,"0
"
MOBILE,unknown,2710045,2123,135789,872,"0
"
MOBILE,unknown,92106,107,16881,90,"0
"
MOBILE,unknown,4068,7,1151,9,"0
"
MOBILE,unknown,2014,3,570,3,"0
"
MOBILE,unknown,24088,50,10656,58,"0
"
MOBILE,unknown,49652,99,20527,114,"0
"
MOBILE,unknown,26185,48,7657,53,"0
"
MOBILE,unknown,18625,34,5511,42,"0
"
MOBILE,unknown,36738,75,18382,73,"0
"
MOBILE,unknown,44087,127,38052,157,"0
"
MOBILE,unknown,41927,70,14664,76,"0
"
MOBILE,unknown,119333,115,13522,115,"0
"
MOBILE,unknown,10996,18,2818,23,"0
"
MOBILE,unknown,7049,12,3343,13,"0
"
MOBILE,unknown,15260,35,7035,42,"0
"
MOBILE,unknown,34166,79,18438,82,"0
"
MOBILE,unknown,89,1,171,2,"0
"
MOBILE,unknown,169249,323,85136,329,"0
"
MOBILE,unknown,5707,9,1363,10,"0
"
MOBILE,unknown,157297,312,76618,326,"0
"
